,day,views,redViews,comments,likes,dislikes,videosAddedToPlaylists,videosRemovedFromPlaylists,shares,estimatedMinutesWatched,estimatedRedMinutesWatched,averageViewDuration,averageViewPercentage,annotationClickThroughRate,annotationCloseRate,annotationImpressions,annotationClickableImpressions,annotationClosableImpressions,annotationClicks,annotationCloses,cardClickRate,cardTeaserClickRate,cardImpressions,cardTeaserImpressions,cardClicks,cardTeaserClicks,subscribersGained,subscribersLost
0,2021-12-23,28,1,2,8,0,1,0,8,128,0,275,36.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2021-12-24,23,0,2,0,0,0,1,2,86,0,226,29.770000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2021-12-25,1,0,0,1,0,0,0,0,10,0,610,80.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2021-12-26,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2021-12-27,10,3,2,1,0,0,0,3,55,13,330,43.38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,2021-12-28,2,0,0,0,0,0,0,1,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2021-12-29,2,1,0,0,0,0,0,0,12,0,381,50.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2021-12-30,2,0,0,0,0,0,0,0,0,0,4,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2021-12-31,1,0,0,0,0,0,0,0,0,0,4,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2022-01-01,1,0,0,0,0,0,0,0,0,0,6,0.8699999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
